NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LHipX,LHipY,LKneesX,LKneesY,LAnkleX,LAnkleY,RKneesX,RKneesY,RAnkleX,RAnkleY
82.63888889,100.6141304,41.31944444,118.9076087,34.23611111,231.7173913,28.33333333,259.1576087,57.84722222,496.9728261,149.9305556,256.1086957,180.625,375.0163043,180.625,487.826087,66.11111111,57.92934783
66.66666667,93.16847826,25,123.2228261,40.625,198.3586957,55.20833333,231.4184783,85.233,470.999,125,246.4456522,164.5833333,366.6630435,156.25,468.8478261,47.91666667,57.10326087
52.75,90.16304348,19.53703704,123.2228261,42.98148148,192.3478261,63.49537037,219.3967391,85.233,470.999,109.4074074,249.451087,152.3888889,360.6521739,145.5509259,468.8478261,32.23611111,54.09782609
158.3333333,112.5,112.5925926,128.125,79.16666667,206.25,36.94444444,275,126.6666667,534.375,221.6666667,259.375,283.2407407,362.5,339.537037,506.25,137.2222222,59.375
83.03703704,103.125,43.62962963,121.875,42.22222222,187.5,28.14814815,215.625,61.92592593,528.125,139.3333333,250,197.037037,350,261.7777778,487.5,53.48148148,50
170.7962963,121.1684783,126.2407407,138.4782609,98.39351852,197.3315217,57.55092593,218.1032609,144.8055556,571.2228261,250.625,297.7282609,311.8888889,408.5108696,360.1574074,546.9891304,142.9490741,48.4673913
177.3888889,118.8423913,139.2407407,141.326087,103,215.201087,28.61111111,240.8967391,167.8518519,539.6086957,282.2962963,301.923913,333.7962963,417.5543478,373.8518519,526.7608696,137.3333333,54.60326087
95,117.1521739,55.41666667,124.0434783,57,175.7282609,28.5,175.7282609,68.08333333,571.9782609,174.1666667,279.0978261,245.4166667,410.0326087,289.75,547.8586957,77.58333333,48.23913043
40.27777778,131.0869565,75.44444,105.1212212,33.3333,128.1212121,44.69,145.4444,21.48148148,593.5326087,128.8888889,316.7934783,198.7037037,433.3152174,243.0092593,571.6847826,40.27777778,76.4673913
182.5925926,107.0543478,133.1851852,114.701087,107.4074074,186.0706522,40.81481481,252.3423913,66.59259259,430.7663043,242.7407407,244.6956522,320.0740741,331.3586957,412.4444444,397.6304348,167.5555556,56.07608696
166.6574074,104.5054348,111.7824074,124.8967391,81.2962963,196.2663043,30.48611111,262.5380435,75.19907407,425.6684783,219.5,237.048913,298.7638889,331.3586957,373.962963,407.826087,138.2037037,56.07608696
116.9398148,98.13586957,71.56018519,113.2336957,55.85185185,178.6576087,24.43518519,236.5326087,43.63425926,420.2228261,165.8101852,228.9836957,242.6064815,322.0869565,310.6759259,412.673913,83.77777778,55.35869565
94.79166667,95.31521739,57.17592593,108.1956522,43.63425926,154.5652174,81.25,162.2934783,46.64351852,425.0543478,142.9398148,229.2717391,206.1342593,322.0108696,264.8148148,414.75,60.18518519,56.67391304
97.63888889,75.32608696,61.66666667,100.4347826,48.30555556,164.3478261,44.69,145.4444,71.94444444,358.3695652,171.6388889,187.173913,171.6388889,264.7826087,163.4166667,388.0434783,76.05555556,38.80434783
211.4722222,101.9130435,163.9675926,108.2826087,111.8657407,175.1630435,33.71296296,238.8586957,156.3055556,541.4130435,283.4953704,277.076087,308.0138889,398.0978261,309.5462963,509.5652174,211.4722222,60.51086957
103.5555556,80.46195652,66.87962963,103.451087,51.77777778,170.1195652,44.69,145.4444,80.90277778,360.9293478,175.8287037,193.1086957,179.0648148,273.5706522,167.1990741,397.7119565,79.82407407,41.38043478
100.537037,75.32608696,63.25925926,98.15217391,50.83333333,162.0652174,44.69,145.4444,80.2037037,349.2391304,167.1851852,187.173913,172.8333333,271.6304348,160.4074074,394.8913043,72.2962963,38.80434783
90.77777778,88.27717391,55.94444444,107.3641304,44.33333333,171.7826087,44.69,145.4444,71.77777778,357.8804348,154.1111111,205.1847826,162.5555556,288.6902174,145.6666667,410.3695652,59.11111111,54.875
209.0277778,105.9945652,157.1759259,115.6304348,110.1851852,192.7173913,30.78703704,266.5923913,155.5555556,549.2445652,278.7037037,279.4402174,306.25,401.4945652,312.7314815,501.0652174,205.787037,64.23913043
73.14814815,91.2826087,41.66666667,108.0978261,61.11111111,189.7717391,44.69,145.4444,61.11111111,362.7282609,130.5555556,204.1847826,143.5185185,290.6630435,125.9259259,420.3804348,41.66666667,60.05434783
76.52777778,82.36413043,47.5,98.83695652,67.73148148,150.6086957,85.32407407,171.7880435,85.233,470.999,131.9444444,202.3804348,146.8981481,284.7445652,130.1851852,407.1141304,45.74074074,51.77173913
57.75,90.48913043,37.78703704,105.1630435,46.34259259,144.2934783,44.69,145.4444,85.233,470.999,111.9351852,205.4347826,127.6203704,295.923913,113.3611111,408.423913,40.63888889,53.80434783
211.1898148,105.9945652,153.5925926,118.8423913,111.7037037,202.3532609,36.65277778,279.4402174,157.0833333,549.2445652,277.5138889,276.2282609,307.1851852,404.7065217,312.4212963,504.2771739,204.2083333,61.02717391
184.6388889,106.5326087,130.3333333,125.9021739,97.75,216.2934783,47.06481481,290.5434783,128.5231481,555.2608696,246.1851852,284.0869565,282.3888889,406.7608696,287.8194444,516.5217391,171.9675926,61.33695652
185.8240741,98.2826087,146.2222222,107.2173913,135.5601852,199.5434783,124.8981481,256.1304348,181.2546296,500.3478261,233.0416667,256.1304348,248.2731481,372.2826087,265.0277778,512.2608696,150.7916667,56.58695652
192.8148148,99.59782609,148.4166667,111.3152174,120.5092593,128.8913043,74.84259259,131.8206522,177.5925926,495.0597826,238.4814815,251.923913,235.9444444,380.8152174,221.9907407,495.0597826,189.0092593,55.6576087
196.3333333,97.74456522,155,106.6304348,116.25,156.9836957,44.69,145.4444,211.8333333,503.5326087,251.875,260.6521739,253.1666667,388.0163043,229.9166667,494.6467391,188.5833333,59.23913043
67.55555556,97.56521739,33.77777778,118.9076087,51.72222222,164.6413043,108.7222222,189.0326087,85.233,470.999,120.3333333,262.2065217,141.4444444,371.9673913,140.3888889,512.2173913,48.55555556,54.88043478
87.66666667,107.8532609,47.48611111,123.2608696,29.22222222,157.1576087,44.69,145.4444,63.31481481,508.451087,152.1990741,258.8478261,186.2916667,382.1086957,187.5092593,493.0434783,71.83796296,64.71195652
115.7592593,86.66847826,77.58333333,112.4347826,62.80555556,178.0217391,44.69,145.4444,92.36111111,367.7554348,185.9537037,201.4456522,189.6481481,283.4293478,178.5648148,402.8913043,91.12962963,49.19021739
191.0787037,107.9836957,148.7592593,113.8206522,120.5462963,131.3315217,42.31944444,128.4130435,178.2546296,496.1413043,238.5277778,256.826087,234.6805556,382.3206522,221.8564815,499.0597826,188.5138889,55.45108696
197.9166667,90.47282609,155.6944444,96.30978261,117.4305556,148.8423913,44.69,145.4444,211.1111111,490.3043478,250.6944444,250.9891304,252.0138889,379.4021739,232.2222222,490.3043478,188.6805556,52.5326087
